coder,id,c.e,c.s,c.cn,e.s,e.cn,s.cn
Aaron,Adams2012,0.46,NA,NA,NA,NA,NA
Aaron,Anderson2006,0.48,0.57,0.42,0.77,0.23,0.33
Aaron,Anderson2011,0.67,0.65,0.59,0.89,0.51,0.54
Aaron,Arbeau2011.1,0.54,0.46,0.42,0.61,0.36,0.55
Aaron,Armeli2008,0.48,NA,NA,NA,NA,NA
Aaron,Armeli2010,0.62,0.62,NA,0.87,NA,NA
Aaron,Bruce2012,0.54,0.56,0.38,0.76,0.27,0.34
Aaron,Bruce2013,0.54,0.56,0.38,0.76,0.27,0.34
Aaron,Buckner2006,0.8,0.67,NA,0.76,NA,NA
Aaron,Carey1997,0.44,NA,NA,NA,NA,NA
Aaron,Clerkin2012,0.41,0.45,0.42,0.74,0.27,0.4
Aaron,Cooper1992,0.66,0.47,NA,0.68,NA,NA
Aaron,Cooper1994,0.46,0.46,0.22,0.68,0.16,0.31
Aaron,Cooper1995,0.59,NA,NA,NA,NA,NA
Aaron,Curcio2011,0.49,0.36,NA,0.66,NA,NA
Aaron,Engels2005,0.57,NA,NA,NA,NA,NA
Aaron,Goldstein2009,0.62,NA,NA,NA,NA,NA
Aaron,Goldstein2010,0.575,0.3575,0.335,0.57,0.325,0.44
Aaron,Gonzalez2009,0.34,0.46,0.39,0.49,0.11,0.33
Aaron,Grant2007,0.51,0.49,0.34,0.84,0.28,0.47
Aaron,Grant2009,0.2,0.12,0.54,0.55,0.15,0.3
Aaron,Grayson2005,0.64,NA,NA,NA,NA,NA
Aaron,Graziano2012,NA,NA,0.52,NA,NA,NA
Aaron,Ham2009,0.51,0.5,0.36,0.755,0.21,0.21
Aaron,Hasking2011,0.68,0.55,NA,0.62,NA,NA
Aaron,Hauck-Filho2012,0.85,0.4,0.22,0.85,0.19,0.26
Aaron,Howell2010,0.35,0.41,0.46,0.74,0.21,0.32
Aaron,Hussong2003,0.61,0.65,NA,0.83,NA,NA
Aaron,Kenney2013,0.31,0.34,0.39,0.58,0.15,0.19
