coder,id,scale,cope.m,en.m,social.m,conf.m,cope.sd,en.sd,social.sd,conf.sd,cope.a,en.a,social.a,conf.a,,,,,,,,,,,
Aaron,Adams2012,1-5,2.54,3.41,NA,NA,0.98,0.91,NA,NA,0.85,0.89,0.81,0.86,,,,,,,,,,,
Aaron,Anderson2011,1-5,1.38,1.88,1.93,1.39,0.74,1.21,1.21,0.76,0.89,0.96,0.96,0.93,,,,,,,,,,,
Aaron,Arbeau2011.1,1-5,1.82,2.9,3.4,1.57,0.86,1.1,0.94,0.65,0.87,0.9,NA,NA,,,,,,,,,,,
Aaron,Arbeau2011.2,1-5,1.704,2.468,2.522,1.342,0.864,1.136,1.064,0.59,NA,NA,NA,NA,,,,,,,,,,,
Aaron,Armeli2008,1-5,2.09,3.26,NA,NA,0.73,0.84,NA,NA,0.91,0.89,NA,NA,,,,,,,,,,,
Aaron,Armeli2010,1-5,2.04,3.04,3.04,NA,0.81,0.88,0.88,NA,0.89,0.91,0.85,NA,,,,,,,,,,,
Aaron,Arterberry2012,1-5,NA,NA,NA,NA,NA,NA,NA,NA,0.83,0.85,0.87,0.83,,,,,,,,,,,
Aaron,Atwell2011,1-5,2.166,2.974,3.6,1.65,0.884,0.972,0.938,0.796,NA,NA,NA,NA,,,,,,,,,,,
Aaron,Beseler2011,1-5,NA,NA,NA,NA,NA,NA,NA,NA,0.83,0.67,0.87,0.76,,,,,,,,,,,
Aaron,Blumenthal2010,1-5,1.61,2.74,2.68,1.37,0.8,1.29,1.3,0.58,0.81,0.91,0.91,0.79,,,,,,,,,,,
Aaron,Bruce2012,1-5,1.9,2.59,3.172,1.07,0.82,1.07,1.11,0.6,0.82,0.88,0.92,0.81,,,,,,,,,,,
Aaron,Bruce2013,1-5,1.904,2.586,2.586,1.404,0.82,1.074,0.6,0.6,0.82,0.88,0.92,0.81,,,,,,,,,,,
Aaron,Buckner2006,1-5,2.6,2.34,2.29,NA,0.68,0.63,0.6,NA,NA,NA,NA,NA,,,,,,,,,,,
Aaron,Chalder2006.f,1-5,2,2.31,2.43,1.55,1.05,1.25,1.12,0.8,NA,NA,NA,NA,,,,,,,,,,,
Aaron,Chalder2006.m,1-5,2,2.38,2.47,1.92,1.08,1.29,1.16,1.01,NA,NA,NA,NA,,,,,,,,,,,
Aaron,Chandley2014,1-5,1.796,NA,NA,NA,0.822,NA,NA,NA,0.89,NA,NA,NA,,,,,,,,,,,
Aaron,Clerkin2012,1-5,1.7,2.65,2.95,1.48,0.87,1.09,1.12,0.67,NA,NA,NA,NA,,,,,,,,,,,
Aaron,Colder2001,1-5,1.89,2.73,2.36,NA,0.84,0.84,1.03,NA,NA,NA,NA,NA,,,,,,,,,,,
Aaron,Conrod1998,1-5,1.73,2.24,2.22,NA,0.6,0.7,0.57,NA,NA,NA,NA,NA,,,,,,,,,,,
Aaron,Cooper1992,1-4,1.31,1.45,1.97,NA,0.41,0.52,0.57,NA,0.81,0.85,0.77,NA,,,,,,,,,,,
Aaron,Cooper1994,1-5,1.6,2.15,2.46,1.38,0.98,1.01,0.98,0.61,0.84,0.88,0.85,0.85,,,,,,,,,,,
Aaron,Cooper1995,1-4,1.33,1.46,NA,NA,0.43,0.52,NA,NA,0.81,0.84,NA,NA,,,,,,,,,,,
Aaron,Crutzen2013,1-5,1.2,1.89,2.05,1.04,0.49,0.75,0.92,0.19,0.81,0.69,0.86,0.9,,,,,,,,,,,
Aaron,Curcio2011,1-5,NA,NA,NA,NA,NA,NA,NA,NA,0.86,0.89,0.91,NA,,,,,,,,,,,
Aaron,Daugherty2003,1-4,1.45,1.96,2.14,NA,0.59,0.9,0.77,NA,NA,NA,NA,NA,,,,,,,,,,,
Aaron,Ebersole2012,0-5,0.916,1.776,2.044,0.304,1.022,0.956,0.79,0.482,NA,NA,NA,NA,,,,,,,,,,,
Aaron,Engels2005,1-7,1.67,3.13,3.13,1.67,0.88,1.34,1.34,0.88,NA,NA,NA,NA,,,,,,,,,,,
Aaron,Evren2010,0-5,3.438,2.774,2.85,1.858,1.174,1.21,1.214,1.27,0.843,0.789,0.849,0.794,,,,,,,,,,,
Aaron,Fitzgerald2012.1,1-6,2.42,3.7,3.7,2.06,1,1.08,1.08,0.94,NA,NA,NA,NA,,,,,,,,,,,
Aaron,Fitzgerald2012.2,1-6,4.82,4.32,4.1,2.7,0.82,1.18,1.38,1.5,NA,NA,NA,NA,,,,,,,,,,,
Aaron,Fossos2011,1-5,2.02,NA,NA,NA,0.88,NA,NA,NA,0.85,NA,NA,NA,,,,,,,,,,,
Aaron,Galen2004,1-5,1.92,2.58,2.96,NA,0.88,1.12,1.14,NA,NA,NA,NA,NA,,,,,,,,,,,
Aaron,Gire2002,1-4,2.43,1.852,2.276,NA,0.866,0.534,0.674,NA,0.68,0.8,0.71,NA,,,,,,,,,,,
Aaron,Gire2002,1-4,1.966,1.93,2.69,NA,0.716,0.702,0.654,NA,0.68,0.8,0.71,NA,,,,,,,,,,,
Aaron,Gmel2012,0-5,0.703,1.335,1.423,0.206,0.952,1.263,1.227,0.502,NA,NA,NA,NA,,,,,,,,,,,
Aaron,Goldsmith2009,1-4,1.87,NA,NA,NA,0.74,NA,NA,NA,0.81,NA,NA,NA,,,,,,,,,,,
Aaron,Goldstein2009,1-5,1.89,2.52,NA,NA,1.03,1.15,NA,NA,0.9,0.9,NA,NA,,,,,,,,,,,
Aaron,Goldstein2010,1-5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.76,NA,,,,,,,,,,,
Aaron,Gonzalez2009,1-4,2.58,3.42,3.77,1.95,1,0.87,0.79,0.95,NA,NA,NA,NA,,,,,,,,,,,
Aaron,Grant2007,1-5,1.07,2.62,2.75,1.24,0.69,0.92,0.74,0.4,0.82,0.83,0.61,0.72,,,,,,,,,,,
Aaron,Grant2009,1-5,1.72,2.99,3.04,1.42,0.76,0.98,0.78,0.72,0.81,0.82,0.68,0.9,,,,,,,,,,,
Aaron,Grayson2005,1-4,NA,NA,NA,NA,NA,NA,NA,NA,0.81,0.83,NA,NA,,,,,,,,,,,
Aaron,Hagman2012,1-4,1.77,2.454,2.848,NA,0.688,0.77,0.652,NA,0.81,0.81,0.75,NA,,,,,,,,,,,
Aaron,Halim2012,1-6,NA,NA,3.58,NA,NA,NA,1.27,NA,NA,NA,NA,NA,,,,,,,,,,,
Aaron,Ham2007,0-4,0.97,1.788,2.144,0.62,0.806,1.056,1.028,0.644,NA,NA,NA,NA,,,,,,,,,,,
Aaron,Ham2009.f,1-5,1.71,2.614,2.756,1.182,0.92,1.22,1.08,0.44,0.91,0.95,0.92,0.91,,,,,,,,,,,
Aaron,Ham2009.m,1-5,1.842,3.122,3.156,1.298,0.98,1.24,1.14,0.66,0.91,0.95,0.92,0.91,,,,,,,,,,,
Aaron,Hasking2011.1,1-4,1.6,1.976,2.534,NA,0.608,0.784,0.78,NA,0.82,0.81,0.81,NA,,,,,,,,,,,
Aaron,Hasking2011.2,1-4,2.24,2.262,2.322,NA,0.67,0.71,0.604,NA,0.82,0.81,0.81,NA,,,,,,,,,,,
Aaron,Hauck-Filho2012,1-5,1.81,2.71,3.04,1.23,0.93,1.11,1.04,0.46,0.79,0.87,0.85,0.75,,,,,,,,,,,
Aaron,Hendershot2011,1-5,1.61,2.05,2.75,NA,0.76,1.06,1.22,NA,0.86,0.9,0.94,0.84,,,,,,,,,,,
Aaron,Henderson2003,1-4,2.88,2.85,2.82,NA,0.91,0.82,0.77,NA,NA,NA,NA,NA,,,,,,,,,,,
Aaron,Howell2010,1-6,1.914,3.214,3.458,1.412,0.764,1.114,1.116,0.578,NA,NA,NA,NA,,,,,,,,,,,
Aaron,Huchting2008,1-5,1.5,2.34,2.57,NA,0.63,1.11,1.15,NA,0.81,0.9,0.93,NA,,,,,,,,,,,
Aaron,Hussong2003,0-4,0.7,1.58,1.69,NA,0.68,1.2,1.22,NA,0.83,0.91,0.94,NA,,,,,,,,,,,
Aaron,Hussong2005,0-4,0.81,NA,NA,NA,0.68,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,
Aaron,Kaysen2007,0-4,1.222,NA,NA,NA,0.526,NA,NA,NA,0.91,NA,NA,NA,,,,,,,,,,,
Aaron,Kenney2013,1-5,1.868,3.134,3.624,1.486,0.892,1.004,1.18,0.732,0.88,0.88,0.89,0.91,,,,,,,,,,,
Aaron,Kim2012,1-4,1.548,1.752,2.446,NA,0.522,0.62,0.534,NA,0.82,0.87,0.76,NA,,,,,,,,,,,
Aaron,Koyama2011,1-5,1.8,1.9,2.4,1.6,NA,NA,NA,NA,0.895,0.855,0.885,0.875,,,,,,,,,,,
Aaron,Kristjansson2011,1-6,1.965,2.915,2.855,1.395,1.01,1.27,1.195,0.665,NA,NA,NA,NA,,,,,,,,,,,
Aaron,Kristjansson2012,1-6,1.93,2.9,NA,NA,0.99,1.25,NA,NA,NA,NA,NA,NA,,,,,,,,,,,
Aaron,Kuntsche2007a,1-6,1.9,2.7,2.8,NA,1.1,1.2,1.2,NA,0.88,0.85,0.82,NA,,,,,,,,,,,
Aaron,Kuntsche2008b.1,1-5,1.73,2.41,2.46,1.27,0.87,1,0.93,0.55,0.88,0.86,0.82,0.86,,,,,,,,,,,
Aaron,Kuntsche2008b.2,1-5,1.85,2.71,2.74,1.44,0.92,1.23,1.15,0.71,0.83,0.89,0.88,0.84,,,,,,,,,,,
Aaron,Kuntsche2008b.3,1-5,1.61,2.08,2.38,1.34,0.8,1.01,0.99,0.62,0.86,0.89,0.86,0.86,,,,,,,,,,,
Aaron,Kuntsche2009,1-3,1.29,1.64,1.83,1.06,0.48,0.56,0.59,0.23,0.83,0.7,0.77,0.78,,,,,,,,,,,
Aaron,Labrie2011.f,1-5,1.83,2.86,2.86,NA,0.86,1.2,1.2,NA,0.84,0.95,0.95,NA,,,,,,,,,,,
Aaron,Labrie2011.m,1-5,1.75,2.91,2.91,NA,0.88,1.19,1.19,NA,0.84,0.95,0.95,NA,,,,,,,,,,,
Aaron,Labrie2011a.f,1-5,1.79,3.01,3.43,1.39,0.86,0.99,0.97,0.64,0.89,0.88,0.89,0.9,,,,,,,,,,,
Aaron,Labrie2011a.m,1-5,1.8,3.11,3.54,1.5,0.91,1,0.94,0.77,0.89,0.88,0.89,0.9,,,,,,,,,,,
Aaron,Lehavot2013.f,1-5,3.5,3.08,NA,NA,0.94,1,NA,NA,0.78,0.72,NA,NA,,,,,,,,,,,
Aaron,Lehavot2013.m,1-5,3.34,3.31,NA,NA,1.01,0.97,NA,NA,0.78,0.72,NA,NA,,,,,,,,,,,
Aaron,Leigh2009,1-5,1.87,2.58,NA,NA,0.88,1.28,NA,NA,0.84,0.91,NA,NA,,,,,,,,,,,
Aaron,Lewis2007,1-5,2.035,2.86,3.2175,1.7275,0.89,0.965,0.93,0.805,0.87,0.91,0.92,0.88,,,,,,,,,,,
Aaron,Lewis2008,1-5,1.84,2.895,3.31,1.475,0.73,0.92,0.95,0.655,0.79,0.85,0.89,0.85,,,,,,,,,,,
Aaron,Lewis2008.f,1-5,1.9,2.9,3.26,1.48,0.77,0.92,0.96,0.67,0.79,0.85,0.89,0.85,,,,,,,,,,,
Aaron,Lewis2008.m,1-5,1.78,2.89,3.36,1.47,0.69,0.92,0.94,0.64,0.79,0.85,0.89,0.85,,,,,,,,,,,
Aaron,Linden2012,1-5,NA,NA,NA,NA,NA,NA,NA,NA,0.89,NA,NA,0.88,,,,,,,,,,,
Aaron,Lindgren2012,1-5,1.572,2.316,NA,NA,0.78,1.25,NA,NA,0.87,0.94,NA,NA,,,,,,,,,,,
Aaron,Lindgren2013,1-5,1.63,2.58,NA,NA,0.73,1.21,NA,NA,0.84,0.91,NA,NA,,,,,,,,,,,
Aaron,Littlefield2011,0-5,0.94,1.85,NA,NA,1.02,1.24,NA,NA,NA,NA,NA,NA,,,,,,,,,,,
Aaron,Littlefield2012,1-4,2.522,3.332,3.654,NA,0.828,0.564,0.354,NA,NA,NA,NA,NA,,,,,,,,,,,
Aaron,Lyvers2010,1-5,2.35,3.74,3.97,1.81,1.12,1.33,1.22,0.8,NA,NA,NA,NA,,,,,,,,,,,
Aaron,MacLean2000.f,1-4,2.28,1.94,2.4,1.24,0.92,0.82,0.96,0.38,0.9,0.87,0.92,0.81,,,,,,,,,,,
Aaron,MacLean2000.m,1-4,2.54,1.9,2.78,1.38,0.88,0.8,0.86,0.5,0.9,0.87,0.92,0.81,,,,,,,,,,,
Aaron,MacPherson2012,1-5,2.16,3.48,3.96,1.9,0.84,0.58,0.72,0.9,NA,NA,NA,NA,,,,,,,,,,,
Aaron,Mares2013.1,1-5,1.54,2.14,2.5,1.26,0.59,0.93,0.96,0.44,NA,NA,NA,NA,,,,,,,,,,,
Aaron,Mares2013.2,1-5,1.41,2.04,2.34,1.19,0.52,0.84,0.9,0.37,NA,NA,NA,NA,,,,,,,,,,,
Aaron,Mares2013.3f,1-5,1.19,1.59,1.89,NA,0.42,0.57,0.72,NA,NA,NA,NA,NA,,,,,,,,,,,
Aaron,Mares2013.3m,1-5,1.2,1.76,2.16,NA,0.39,0.6,0.86,NA,NA,NA,NA,NA,,,,,,,,,,,
Aaron,Martens2003,1-5,1.61,2.41,2.83,1.28,NA,NA,NA,NA,0.84,0.89,0.9,0.76,,,,,,,,,,,
Aaron,Martens2007,1-5,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.82,0.76,NA,,,,,,,,,,,
Aaron,Martens2008,1-5,2.02,3.04,3.35,1.45,0.8,1.01,0.94,0.57,NA,NA,0.87,0.81,,,,,,,,,,,
Aaron,Martens2008a,1-5,1.85,NA,NA,NA,0.73,NA,NA,NA,0.82,NA,NA,NA,,,,,,,,,,,
Aaron,Martens2011,1-5,NA,NA,NA,NA,NA,NA,NA,NA,0.78,0.87,NA,NA,,,,,,,,,,,
Aaron,Martin2011,1-5,1.93,3.08,3.45,1.51,0.87,1.15,1.03,0.79,0.83,0.89,0.87,0.88,,,,,,,,,,,
Aaron,Mazzardis2010,1-3,1.42,1.61,1.81,1.143,0.62,0.66,0.71,0.39,0.75,0.64,0.79,0.75,,,,,,,,,,,
Aaron,McNally2003,1-5,NA,NA,NA,NA,NA,NA,NA,NA,0.78,0.89,0.85,0.86,,,,,,,,,,,
Aaron,Merrill2010,1-5,1.924,3.186,3.41,1.454,0.798,0.944,0.874,0.612,0.84,0.84,0.87,0.85,,,,,,,,,,,
Aaron,Merrill2013,1-5,1.56,NA,NA,NA,0.38,NA,NA,NA,0.7,0.84,0.81,0.82,,,,,,,,,,,
Aaron,Merrill2014,1-5,1.798,2.428,2.97,1.562,0.786,0.994,0.69,0.69,0.87,0.87,0.91,0.83,,,,,,,,,,,
Aaron,Mezquita2010.1,1-5,1.1,1.54,2.27,1.09,0.3,0.69,1.048,0.27,0.74,0.78,NA,NA,,,,,,,,,,,
Aaron,Mezquita2010.2,1-5,2.75,2.53,2.88,1.55,1.06,1.02,0.88,0.59,0.74,0.78,NA,NA,,,,,,,,,,,
Aaron,Mezquita2010.f,1-5,1.35,2.03,NA,NA,0.545,0.82,NA,NA,0.74,0.78,NA,NA,,,,,,,,,,,
Aaron,Mezquita2010.m,1-5,1.37,2.37,NA,NA,0.51,1.01,NA,NA,0.74,0.78,NA,NA,,,,,,,,,,,
Aaron,Mezquita2011,1-5,1.175,1.62,2.35,1.11,0.65,0.75,0.84,0.3,0.7,0.82,0.78,0.75,,,,,,,,,,,
Aaron,Moeller2009,1-4,1.82,2.67,NA,NA,0.64,0.73,NA,NA,0.79,0.86,NA,NA,,,,,,,,,,,
Aaron,Mohr2005,1-5,2.27,3.4,3.59,1.78,0.99,0.96,0.93,0.92,0.87,0.86,0.85,0.89,,,,,,,,,,,
Aaron,Mohr2013,0-4,2.39,2.85,3.51,NA,0.72,0.81,0.62,NA,0.82,0.88,0.8,NA,,,,,,,,,,,
Aaron,Molnar2010.1,0-5,1.06,2.32,2.71,0.57,1.02,1.3,1.18,0.81,0.84,0.9,0.86,0.86,,,,,,,,,,,
Aaron,Molnar2010.2,0-5,3.07,3.1,3.1,1.51,1.38,1.32,1.28,1.27,0.9,0.89,0.89,0.86,,,,,,,,,,,
Aaron,Muller2011,0-6,0.92,1.97,2.52,0.2,1.5,1.7,1.78,0.73,0.84,0.76,0.76,0.81,,,,,,,,,,,
Aaron,Neighbors2004,1-5,1.9,2.76,3,1.5,0.9,1.27,1.2,0.67,0.84,0.93,0.91,0.83,,,,,,,,,,,
